Name,Loaded As,Matrix,Operation,Run type,Thread count,Millis
int-1000X1000-add-uni-linear,int,uni_dimensional_array_backed,add,linear,null,119
int-1000X1000-add-uni-50-threads,int,uni_dimensional_array_backed,add,threaded,50,53
int-1000X1000-add-uni-2-threads,int,uni_dimensional_array_backed,add,threaded,2,24
int-1000X1000-add-uni-4-threads,int,uni_dimensional_array_backed,add,threaded,4,14
int-1000X1000-add-uni-6-threads,int,uni_dimensional_array_backed,add,threaded,6,11
int-1000X1000-add-uni-8-threads,int,uni_dimensional_array_backed,add,threaded,8,11
int-1000X1000-add-bi-linear,int,bi_dimensional_array_backed,add,linear,null,66
int-1000X1000-add-bi-50-threads,int,bi_dimensional_array_backed,add,threaded,50,106
int-1000X1000-add-bi-2-threads,int,bi_dimensional_array_backed,add,threaded,2,33
int-1000X1000-add-bi-4-threads,int,bi_dimensional_array_backed,add,threaded,4,32
int-1000X1000-add-bi-6-threads,int,bi_dimensional_array_backed,add,threaded,6,35
int-1000X1000-add-bi-8-threads,int,bi_dimensional_array_backed,add,threaded,8,32
double-1000X1000-add-uni-linear,double,uni_dimensional_array_backed,add,linear,null,114
double-1000X1000-add-uni-50-threads,double,uni_dimensional_array_backed,add,threaded,50,100
double-1000X1000-add-uni-2-threads,double,uni_dimensional_array_backed,add,threaded,2,30
double-1000X1000-add-uni-4-threads,double,uni_dimensional_array_backed,add,threaded,4,31
double-1000X1000-add-uni-6-threads,double,uni_dimensional_array_backed,add,threaded,6,29
double-1000X1000-add-uni-8-threads,double,uni_dimensional_array_backed,add,threaded,8,25
double-1000X1000-add-bi-linear,double,bi_dimensional_array_backed,add,linear,null,135
double-1000X1000-add-bi-50-threads,double,bi_dimensional_array_backed,add,threaded,50,101
double-1000X1000-add-bi-2-threads,double,bi_dimensional_array_backed,add,threaded,2,67
double-1000X1000-add-bi-4-threads,double,bi_dimensional_array_backed,add,threaded,4,108
double-1000X1000-add-bi-6-threads,double,bi_dimensional_array_backed,add,threaded,6,46
double-1000X1000-add-bi-8-threads,double,bi_dimensional_array_backed,add,threaded,8,37
complex-1000X1000-add-uni-linear,complex,uni_dimensional_array_backed,add,linear,null,76
complex-1000X1000-add-uni-50-threads,complex,uni_dimensional_array_backed,add,threaded,50,186
complex-1000X1000-add-uni-2-threads,complex,uni_dimensional_array_backed,add,threaded,2,123
complex-1000X1000-add-uni-4-threads,complex,uni_dimensional_array_backed,add,threaded,4,128
complex-1000X1000-add-uni-6-threads,complex,uni_dimensional_array_backed,add,threaded,6,146
complex-1000X1000-add-uni-8-threads,complex,uni_dimensional_array_backed,add,threaded,8,121
complex-1000X1000-add-bi-linear,complex,bi_dimensional_array_backed,add,linear,null,133
complex-1000X1000-add-bi-50-threads,complex,bi_dimensional_array_backed,add,threaded,50,116
complex-1000X1000-add-bi-2-threads,complex,bi_dimensional_array_backed,add,threaded,2,44
complex-1000X1000-add-bi-4-threads,complex,bi_dimensional_array_backed,add,threaded,4,36
complex-1000X1000-add-bi-6-threads,complex,bi_dimensional_array_backed,add,threaded,6,103
complex-1000X1000-add-bi-8-threads,complex,bi_dimensional_array_backed,add,threaded,8,108
int-100X100-add-uni-linear,int,uni_dimensional_array_backed,add,linear,null,1
int-100X100-add-uni-50-threads,int,uni_dimensional_array_backed,add,threaded,50,3
