Name,Loaded As,Matrix,Operation,Run type,Thread count,Millis
int-1000X1000-add-uni-linear,int,uni_dimensional_array_backed,add,linear,null,170
int-1000X1000-add-uni-50-threads,int,uni_dimensional_array_backed,add,threaded,50,68
int-1000X1000-add-uni-2-threads,int,uni_dimensional_array_backed,add,threaded,2,23
int-1000X1000-add-uni-4-threads,int,uni_dimensional_array_backed,add,threaded,4,19
int-1000X1000-add-uni-6-threads,int,uni_dimensional_array_backed,add,threaded,6,17
int-1000X1000-add-uni-8-threads,int,uni_dimensional_array_backed,add,threaded,8,12
int-1000X1000-add-bi-linear,int,bi_dimensional_array_backed,add,linear,null,52
int-1000X1000-add-bi-50-threads,int,bi_dimensional_array_backed,add,threaded,50,139
int-1000X1000-add-bi-2-threads,int,bi_dimensional_array_backed,add,threaded,2,34
int-1000X1000-add-bi-4-threads,int,bi_dimensional_array_backed,add,threaded,4,53
int-1000X1000-add-bi-6-threads,int,bi_dimensional_array_backed,add,threaded,6,48
int-1000X1000-add-bi-8-threads,int,bi_dimensional_array_backed,add,threaded,8,35
double-1000X1000-add-uni-linear,double,uni_dimensional_array_backed,add,linear,null,134
double-1000X1000-add-uni-50-threads,double,uni_dimensional_array_backed,add,threaded,50,181
double-1000X1000-add-uni-2-threads,double,uni_dimensional_array_backed,add,threaded,2,25
double-1000X1000-add-uni-4-threads,double,uni_dimensional_array_backed,add,threaded,4,21
double-1000X1000-add-uni-6-threads,double,uni_dimensional_array_backed,add,threaded,6,28
double-1000X1000-add-uni-8-threads,double,uni_dimensional_array_backed,add,threaded,8,27
double-1000X1000-add-bi-linear,double,bi_dimensional_array_backed,add,linear,null,120
double-1000X1000-add-bi-50-threads,double,bi_dimensional_array_backed,add,threaded,50,107
double-1000X1000-add-bi-2-threads,double,bi_dimensional_array_backed,add,threaded,2,64
double-1000X1000-add-bi-4-threads,double,bi_dimensional_array_backed,add,threaded,4,36
double-1000X1000-add-bi-6-threads,double,bi_dimensional_array_backed,add,threaded,6,49
double-1000X1000-add-bi-8-threads,double,bi_dimensional_array_backed,add,threaded,8,32
complex-1000X1000-add-uni-linear,complex,uni_dimensional_array_backed,add,linear,null,49
complex-1000X1000-add-uni-50-threads,complex,uni_dimensional_array_backed,add,threaded,50,150
complex-1000X1000-add-uni-2-threads,complex,uni_dimensional_array_backed,add,threaded,2,98
complex-1000X1000-add-uni-4-threads,complex,uni_dimensional_array_backed,add,threaded,4,90
complex-1000X1000-add-uni-6-threads,complex,uni_dimensional_array_backed,add,threaded,6,46
complex-1000X1000-add-uni-8-threads,complex,uni_dimensional_array_backed,add,threaded,8,47
complex-1000X1000-add-bi-linear,complex,bi_dimensional_array_backed,add,linear,null,41
complex-1000X1000-add-bi-50-threads,complex,bi_dimensional_array_backed,add,threaded,50,126
complex-1000X1000-add-bi-2-threads,complex,bi_dimensional_array_backed,add,threaded,2,42
complex-1000X1000-add-bi-4-threads,complex,bi_dimensional_array_backed,add,threaded,4,37
complex-1000X1000-add-bi-6-threads,complex,bi_dimensional_array_backed,add,threaded,6,44
complex-1000X1000-add-bi-8-threads,complex,bi_dimensional_array_backed,add,threaded,8,43
int-100X100-add-uni-linear,int,uni_dimensional_array_backed,add,linear,null,1
int-100X100-add-uni-50-threads,int,uni_dimensional_array_backed,add,threaded,50,24
int-100X100-add-uni-2-threads,int,uni_dimensional_array_backed,add,threaded,2,0
int-100X100-add-uni-4-threads,int,uni_dimensional_array_backed,add,threaded,4,0
int-100X100-add-uni-6-threads,int,uni_dimensional_array_backed,add,threaded,6,5
int-100X100-add-uni-8-threads,int,uni_dimensional_array_backed,add,threaded,8,0
int-100X100-add-bi-linear,int,bi_dimensional_array_backed,add,linear,null,1
int-100X100-add-bi-50-threads,int,bi_dimensional_array_backed,add,threaded,50,5
int-100X100-add-bi-2-threads,int,bi_dimensional_array_backed,add,threaded,2,1
int-100X100-add-bi-4-threads,int,bi_dimensional_array_backed,add,threaded,4,1
int-100X100-add-bi-6-threads,int,bi_dimensional_array_backed,add,threaded,6,5
int-100X100-add-bi-8-threads,int,bi_dimensional_array_backed,add,threaded,8,1
double-100X100-add-uni-linear,double,uni_dimensional_array_backed,add,linear,null,1
double-100X100-add-uni-50-threads,double,uni_dimensional_array_backed,add,threaded,50,9
double-100X100-add-uni-2-threads,double,uni_dimensional_array_backed,add,threaded,2,1
double-100X100-add-uni-4-threads,double,uni_dimensional_array_backed,add,threaded,4,1
double-100X100-add-uni-6-threads,double,uni_dimensional_array_backed,add,threaded,6,1
double-100X100-add-uni-8-threads,double,uni_dimensional_array_backed,add,threaded,8,0
double-100X100-add-bi-linear,double,bi_dimensional_array_backed,add,linear,null,1
double-100X100-add-bi-50-threads,double,bi_dimensional_array_backed,add,threaded,50,6
double-100X100-add-bi-2-threads,double,bi_dimensional_array_backed,add,threaded,2,0
double-100X100-add-bi-4-threads,double,bi_dimensional_array_backed,add,threaded,4,3
double-100X100-add-bi-6-threads,double,bi_dimensional_array_backed,add,threaded,6,9
double-100X100-add-bi-8-threads,double,bi_dimensional_array_backed,add,threaded,8,1
complex-100X100-add-uni-linear,complex,uni_dimensional_array_backed,add,linear,null,1
complex-100X100-add-uni-50-threads,complex,uni_dimensional_array_backed,add,threaded,50,6
complex-100X100-add-uni-2-threads,complex,uni_dimensional_array_backed,add,threaded,2,4
complex-100X100-add-uni-4-threads,complex,uni_dimensional_array_backed,add,threaded,4,2
complex-100X100-add-uni-6-threads,complex,uni_dimensional_array_backed,add,threaded,6,1
complex-100X100-add-uni-8-threads,complex,uni_dimensional_array_backed,add,threaded,8,2
complex-100X100-add-bi-linear,complex,bi_dimensional_array_backed,add,linear,null,1
complex-100X100-add-bi-50-threads,complex,bi_dimensional_array_backed,add,threaded,50,13
complex-100X100-add-bi-2-threads,complex,bi_dimensional_array_backed,add,threaded,2,2
complex-100X100-add-bi-4-threads,complex,bi_dimensional_array_backed,add,threaded,4,1
complex-100X100-add-bi-6-threads,complex,bi_dimensional_array_backed,add,threaded,6,1
complex-100X100-add-bi-8-threads,complex,bi_dimensional_array_backed,add,threaded,8,1
int-10X10-add-uni-linear,int,uni_dimensional_array_backed,add,linear,null,0
int-10X10-add-uni-50-threads,int,uni_dimensional_array_backed,add,threaded,50,2
int-10X10-add-uni-2-threads,int,uni_dimensional_array_backed,add,threaded,2,0
int-10X10-add-uni-4-threads,int,uni_dimensional_array_backed,add,threaded,4,0
int-10X10-add-uni-6-threads,int,uni_dimensional_array_backed,add,threaded,6,0
int-10X10-add-uni-8-threads,int,uni_dimensional_array_backed,add,threaded,8,1
int-10X10-add-bi-linear,int,bi_dimensional_array_backed,add,linear,null,0
int-10X10-add-bi-50-threads,int,bi_dimensional_array_backed,add,threaded,50,2
int-10X10-add-bi-2-threads,int,bi_dimensional_array_backed,add,threaded,2,0
int-10X10-add-bi-4-threads,int,bi_dimensional_array_backed,add,threaded,4,0
int-10X10-add-bi-6-threads,int,bi_dimensional_array_backed,add,threaded,6,1
int-10X10-add-bi-8-threads,int,bi_dimensional_array_backed,add,threaded,8,2
double-10X10-add-uni-linear,double,uni_dimensional_array_backed,add,linear,null,0
double-10X10-add-uni-50-threads,complex,uni_dimensional_array_backed,add,threaded,50,13
double-10X10-add-uni-2-threads,double,uni_dimensional_array_backed,add,threaded,2,0
double-10X10-add-uni-4-threads,double,uni_dimensional_array_backed,add,threaded,4,0
double-10X10-add-uni-6-threads,double,uni_dimensional_array_backed,add,threaded,6,1
double-10X10-add-uni-8-threads,double,uni_dimensional_array_backed,add,threaded,8,2
double-10X10-add-bi-linear,double,bi_dimensional_array_backed,add,linear,null,0
double-10X10-add-bi-50-threads,double,bi_dimensional_array_backed,add,threaded,50,1
double-10X10-add-bi-2-threads,double,bi_dimensional_array_backed,add,threaded,2,0
double-10X10-add-bi-4-threads,double,bi_dimensional_array_backed,add,threaded,4,3
double-10X10-add-bi-6-threads,double,bi_dimensional_array_backed,add,threaded,6,1
